"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Mon Dec 04 16:59:00 CET 2023","Mon Dec 04 16:59:02 CET 2023","2148","","Remove Books from Reading, Wish list and perform validations","","","","Removing Book from WishList from search result screen",""
"passed","Mon Dec 04 16:58:58 CET 2023","Mon Dec 04 16:58:58 CET 2023","590","","Remove Books from Reading, Wish list and perform validations","","","","Remove Book from Currently Reading List from search result screen and validate it's removed from reading list",""
"passed","Mon Dec 04 16:59:27 CET 2023","Mon Dec 04 16:59:30 CET 2023","2638","","Open Book details and perform validations for all the details present on screen ","","","","Adding Book to Currently Reading List from open Book details screen and validate Book Title",""
"unknown","Mon Dec 04 16:58:57 CET 2023","Mon Dec 04 16:59:02 CET 2023","5133","","Remove Books from Reading, Wish list and perform validations","","","","Remove Book from Currently Reading List Screen",""
"passed","Mon Dec 04 16:58:20 CET 2023","Mon Dec 04 16:58:34 CET 2023","14247","","Search Boook using BookName/ISBN and perform validations","","","","Search Book By ISBN and validate user navigated to search result page",""
"passed","Mon Dec 04 16:58:34 CET 2023","Mon Dec 04 16:58:49 CET 2023","14999","","Search Boook using BookName/ISBN and perform validations","","","","Search Book By BookName and validate navigated to search result page",""
"passed","Mon Dec 04 16:58:50 CET 2023","Mon Dec 04 16:58:50 CET 2023","218","","Adding Book to List (WishList,Currently Reading) from search result screen","","","","Adding Book to WishList from search result screen",""
"unknown","Mon Dec 04 16:59:02 CET 2023","Mon Dec 04 16:59:30 CET 2023","27629","","Open Book details and perform validations for all the details present on screen ","","","","Open Book and verify Book details displayed and compare it with search result Book details ",""
"passed","Mon Dec 04 16:58:49 CET 2023","Mon Dec 04 16:58:49 CET 2023","303","","Search Boook using BookName/ISBN and perform validations","","","","Verify Book Search results contains matching results",""
"passed","Mon Dec 04 16:58:49 CET 2023","Mon Dec 04 16:58:50 CET 2023","168","","Adding Book to List (WishList,Currently Reading) from search result screen","","","","Adding Book to Currently Reading List from search result screen",""
"passed","Mon Dec 04 16:58:50 CET 2023","Mon Dec 04 16:58:57 CET 2023","7339","","Adding Book to List (WishList,Currently Reading) from search result screen","","","","Access Currently Reading BookList and verify if book title is matching with search screen book records.using book details index",""
